date,dial
1/7/2018,4365
1/14/2018,4374
1/21/2018,4381
1/28/2018,4389
2/3/2018,4399
2/11/2018,4416
2/18/2018,4437
2/24/2018,4450
3/3/2018,4473
3/10/2018,4497
3/17/2018,4530
3/24/2018,4563
3/31/2018,4596
4/8/2018,4632
4/14/2018,4665
4/21/2018,4713
4/28/2018,4789
5/4/2018,4846
5/13/2018,4919
5/19/2018,4982
5/26/2018,5051
6/9/2018,5204
6/16/2018,5266
6/24/2018,5369
7/1/2018,5473
7/7/2018,5544
7/15/2018,5641
7/22/2018,5730
8/4/2018,5896
8/12/2018,5971
8/18/2018,6030
